ID,Area,Role,"User Story","Expected Behaviour (code-derived)","Code Reference","P1 Built","P2 Test Result","Errors Found","P3 Fix Status","P4 Re-test"
EN-01,"Enrollment (Individual)","Logged-in user","As a user, I want to enroll in an edition so that I gain access to the course","Edition must be open (not past/full/closed). Capacity checked with row-level lock. Status Confirmed (no approval & no tasks) or Pending (approval OR tasks). LMS access granted immediately only for Confirmed. Errors: edition_past, edition_full, enrollment_closed, already_enrolled.","EnrollmentService::enroll() 167-367",Yes,"PASS (acceptance EnrollmentCest)",,,"PASS (re-run green)"
EN-02,"Enrollment (Colleague-create)",Trainer,"As a trainer, I want to enroll a colleague by email so that I can register them without an existing account","Email lookup; if absent, user created with auto username+password; enroller stored in enrolled_by; wp_new_user_notification sent; existing colleague profile fields NOT overwritten.","EnrollmentService::processEnrollment() 793-956",Yes,"PASS (integration)",,,"PASS (re-run green)"
EN-03,"Enrollment (Colleague-existing)",Trainer,"As a trainer, I want to enroll an existing colleague so that no duplicate account is created","User resolved by email; enrollment_data persisted per-registration but user meta NOT mutated (anti account-hijack).","EnrollmentService::processEnrollment() 873-880",Yes,"PASS (integration)",,,"PASS (re-run green)"
EN-04,"Enrollment (Self profile update)","Logged-in user","As a user, I want my enrollment form to update my profile so that details are remembered next time","Name/phone/organisation/department/billing/VAT/invoice email/GLN/company stored to user_meta via getUserMetaMapping(). Colleague enrollments skip this.","EnrollmentService::updateUserProfile() 1037-1055",Yes,"PASS (acceptance ProfileCest)",,,"PASS (re-run green)"
EN-05,"Enrollment (Personal form)","Logged-in user","As a user, I want to fill personal details so that the provider has my contact info","Fields first/last/email/phone/organisation/department. Required validated. Stored enrollment_data['enrollment_personal'] with submitted_at/by envelope.","EnrollmentFormHandler::processEditionEnrollment() 78-206",Yes,"PASS (acceptance EnrollmentCest)",,,"PASS (re-run green)"
EN-06,"Enrollment (Billing form)","Logged-in user","As a user, I want to enter billing details so that invoicing is accurate","company/vat/address/postcode/city/gln/invoice_email validated required per stage. Stored enrollment_data['enrollment_billing'] + reserved keys to user_meta.","EnrollmentFormHandler::processEditionEnrollment() 128-160",Yes,"PASS (acceptance EnrollmentCest)",,,"PASS (re-run green)"
EN-07,"Enrollment (Session selection form)","Logged-in user (klassikaal)","As a user, I want to select sessions I'll attend so that the provider knows my preferences","Session IDs validated vs availability (selection_open, deadline). Stored registration.selections JSON. Initial recorded in enrollment_data.initial_selection.phases[] (append-only).","EnrollmentFormHandler::handleSaveSessionSelection() 522-568",Yes,"PASS (acceptance EnrollmentCest)",,,"PASS (re-run green)"
EN-08,"Enrollment (Terms acceptance)","Logged-in user","As a user, I want to accept terms before enrolling so that I acknowledge obligations","terms_accepted boolean required. If false: 'Je moet akkoord gaan met de voorwaarden.'","EnrollmentFormHandler::validateRequiredBillingFields() 745-760",Yes,"PASS (acceptance EnrollmentCest)",,,"PASS (re-run green)"
EN-09,"Enrollment (Pending approval path)","Logged-in user","As a user, I want to enroll in an approval-required edition so that the trainer can review","Status Pending; LMS access NOT granted; message 'Je inschrijving is ontvangen en wacht op goedkeuring.'","EnrollmentService::enroll() 225-232",Yes,"PASS (integration)",,,"PASS (re-run green)"
EN-10,"Enrollment (Quote generation)",User/system,"As a user/system, I want a quote auto-generated after enrollment so that billing is tracked","Quote on registration/created (skip Interest/Waitlist; defer Pending+tasks). Voucher discount applied. Linked via registration.quote_id.","EnrollmentQuoteHandler::onRegistrationCreated() 31-152",Yes,"PASS (integration)",,,"PASS (re-run green)"
